time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:37:902,0.130,0.010,-0.140,-100.690,-76.960,-6.860
09:39:37:936,0.130,0.010,-0.140,-100.690,-76.960,-6.860
09:39:37:969,0.130,0.010,-0.140,-100.690,-76.960,-6.860
09:39:38:002,0.070,0.010,-0.140,-97.740,-76.180,-8.000
09:39:38:035,0.060,0.000,-0.120,-98.350,-75.910,-3.200
09:39:38:069,0.130,0.000,-0.110,-96.730,-75.500,-3.720
09:39:38:102,0.140,0.010,-0.090,-96.450,-72.890,-8.630
09:39:38:135,0.140,0.010,-0.090,-96.450,-72.890,-8.630
09:39:38:169,0.140,0.010,-0.090,-96.450,-72.890,-8.630
09:39:38:202,0.160,-0.020,-0.090,-95.150,-71.780,-7.890
09:39:38:235,0.140,-0.020,-0.100,-95.110,-72.460,-9.650
09:39:38:269,0.140,0.000,-0.090,-95.640,-71.690,-7.260
09:39:38:302,0.160,0.040,-0.080,-95.300,-71.130,-7.900
09:39:38:335,0.160,0.040,-0.080,-95.300,-71.130,-7.900
09:39:38:369,0.160,0.040,-0.080,-95.300,-71.130,-7.900
09:39:38:402,0.170,0.020,-0.060,-94.610,-69.030,-9.600
09:39:38:435,0.170,0.040,-0.020,-93.370,-68.920,-9.740
09:39:38:468,0.170,0.000,-0.010,-90.710,-68.830,-9.510
09:39:38:502,0.170,0.020,0.010,-90.470,-67.790,-9.060
09:39:38:535,0.170,0.020,0.010,-90.470,-67.790,-9.060
09:39:38:569,0.170,0.020,0.010,-90.470,-67.790,-9.060
09:39:38:601,0.180,0.040,0.020,-88.830,-66.590,-9.540
09:39:38:635,0.040,-0.280,-0.180,-88.310,-66.230,-10.720
09:39:38:668,-0.080,0.000,-0.060,-95.390,-66.950,-5.470
09:39:38:702,0.070,-0.120,-0.060,-92.950,-68.690,6.590
09:39:38:735,0.070,-0.120,-0.060,-92.950,-68.690,6.590
09:39:38:768,0.070,-0.120,-0.060,-92.950,-68.690,6.590
09:39:38:801,0.020,-0.030,-0.120,-93.760,-65.730,-4.150
09:39:38:835,0.060,0.010,-0.130,-96.740,-60.300,-0.460
